Date_add,Symbol,Open,High,Low,Close,week_of_year,week_day,avg_daily_price,Dollars Invested,Shares Purchased
2020-10-13,QQQM,117.418091,118.281174,116.913814,117.389,42,Tuesday,117.50052,25.0,0.212765
2020-10-19,QQQM,116.205873,116.205873,112.719599,112.928093,43,Monday,114.51486,25.0,0.218312
2020-10-26,QQQM,112.501433,113.442098,110.405786,111.696533,44,Monday,112.011462,25.0,0.223191
2020-11-02,QQQM,108.273284,108.845437,106.382255,107.545967,45,Monday,107.761736,25.0,0.231993
2020-11-09,QQQM,118.513902,118.99878,114.916107,114.916107,46,Monday,116.836224,25.0,0.213975
2020-11-16,QQQM,115.847085,116.846902,115.430089,116.438637,47,Monday,116.140678,25.0,0.215256
2020-11-23,QQQM,116.147704,116.535608,114.780352,115.691925,48,Monday,115.788897,25.0,0.21591
2020-11-30,QQQM,119.250912,119.435168,117.476257,119.289703,49,Monday,118.86301,25.0,0.210326
2020-12-07,QQQM,121.820766,122.508323,121.685001,122.024414,50,Monday,122.009626,25.0,0.204902
2020-12-14,QQQM,120.773433,121.898346,120.773433,121.112846,51,Monday,121.139515,25.0,0.206374
2020-12-21,QQQM,122.503692,123.426449,121.211826,123.25161,52,Monday,122.598394,25.0,0.203918
2020-12-28,QQQM,124.747459,124.969896,123.912125,124.796028,53,Monday,124.606377,25.0,0.200632
2021-01-04,QQQM,125.883919,125.883919,121.852906,123.436172,1,Monday,124.264229,25.0,0.201184
2021-01-11,QQQM,126.262739,126.573556,125.264216,125.475952,2,Monday,125.894116,25.0,0.19858
2021-01-19,QQQM,125.495364,126.44726,125.10392,126.301567,3,Tuesday,125.837028,25.0,0.19867
2021-01-25,QQQM,131.430209,131.789596,128.457952,130.769714,4,Monday,130.611868,25.0,0.191407
2021-02-01,QQQM,127.156372,129.069886,126.243322,128.739624,5,Monday,127.802301,25.0,0.195615
2021-02-08,QQQM,133.071703,133.187294,132.294639,133.11055,6,Monday,132.916047,25.0,0.188089
2021-02-16,QQQM,134.761815,134.946354,133.497146,133.955612,7,Tuesday,134.290232,25.0,0.186164
2021-02-22,QQQM,130.439427,130.750259,128.681329,128.749329,8,Monday,129.655086,25.0,0.192819
2021-03-01,QQQM,127.467177,129.283568,127.025222,129.147583,9,Monday,128.230888,25.0,0.194961
2021-03-08,QQQM,123.125338,123.727556,119.706265,119.715981,10,Monday,121.568785,25.0,0.205645
2021-03-15,QQQM,126.126734,127.340892,125.583757,127.2826,11,Monday,126.583496,25.0,0.197498
2021-03-22,QQQM,126.144529,128.157621,125.940295,127.379608,12,Monday,126.905513,25.0,0.196997
2021-03-29,QQQM,125.950023,126.63857,124.925974,126.095909,13,Monday,125.902619,25.0,0.198566
2021-04-05,QQQM,130.85152,132.524243,130.715369,132.358917,14,Monday,131.612512,25.0,0.189952
2021-04-12,QQQM,134.420597,134.712354,133.837084,134.585922,15,Monday,134.388989,25.0,0.186027
2021-04-19,QQQM,136.083636,136.46293,134.69295,135.490417,16,Monday,135.682483,25.0,0.184254
2021-04-26,QQQM,135.850205,136.618483,135.485513,136.54068,17,Monday,136.12372,25.0,0.183656
2021-05-03,QQQM,135.587603,135.869639,134.177463,134.342789,18,Monday,134.994374,25.0,0.185193
2021-05-10,QQQM,133.059079,133.059079,130.102634,130.25824,19,Monday,131.619758,25.0,0.189941
2021-05-17,QQQM,129.801174,129.9665,128.575815,129.635849,20,Monday,129.494834,25.0,0.193058
2021-05-24,QQQM,131.648939,133.360569,131.561416,132.874313,21,Monday,132.361309,25.0,0.188877
2021-06-01,QQQM,134.060783,134.16776,132.572841,133.049362,22,Tuesday,133.462686,25.0,0.187318
2021-06-07,QQQM,133.982984,134.556762,133.739856,134.527588,23,Monday,134.201797,25.0,0.186287
2021-06-14,QQQM,136.589309,137.613373,136.21003,137.613373,24,Monday,137.006521,25.0,0.182473
2021-06-21,QQQM,137.106956,137.866496,136.142917,137.798325,25,Monday,137.228673,25.0,0.182178
2021-06-28,QQQM,140.437256,141.590206,140.437256,141.566833,26,Monday,141.007888,25.0,0.177295
2021-07-06,QQQM,143.855154,144.214479,142.6769,144.079132,27,Tuesday,143.706416,25.0,0.173966
2021-07-12,QQQM,145.101576,145.208691,144.40046,145.043152,28,Monday,144.93847,25.0,0.172487
2021-07-19,QQQM,141.703154,142.092657,140.953346,141.956329,29,Monday,141.676372,25.0,0.176458
2021-07-26,QQQM,147.068627,147.613937,146.773581,147.45813,30,Monday,147.228569,25.0,0.169804
2021-08-02,QQQM,146.620681,146.776473,145.676122,145.900085,31,Monday,146.243341,25.0,0.170948
2021-08-09,QQQM,147.526272,147.769714,147.039386,147.565216,32,Monday,147.475147,25.0,0.16952
2021-08-16,QQQM,147.185463,147.682095,145.539802,147.672348,33,Monday,147.019927,25.0,0.170045
2021-08-23,QQQM,147.594451,149.624755,147.594451,149.337494,34,Monday,148.537787,25.0,0.168307
2021-08-30,QQQM,150.817635,152.370801,150.817635,152.180908,35,Monday,151.546745,25.0,0.164966
2021-09-07,QQQM,152.745688,153.183882,152.278282,152.920959,36,Tuesday,152.782203,25.0,0.163632
2021-09-13,QQQM,151.684301,151.840093,149.765971,150.622879,37,Monday,150.978311,25.0,0.165587
2021-09-20,QQQM,147.286156,148.075761,144.615148,146.613525,38,Monday,146.647648,25.0,0.170477
2021-09-27,QQQM,148.280449,148.719117,147.364112,148.38768,39,Monday,148.187839,25.0,0.168705
2021-10-04,QQQM,143.601305,143.689036,140.35514,141.359207,40,Monday,142.251172,25.0,0.175745
2021-10-11,QQQM,144.069207,145.502199,143.581795,143.611053,41,Monday,144.191064,25.0,0.173381
2021-10-18,QQQM,147.315375,149.391754,147.11067,149.313766,42,Monday,148.282891,25.0,0.168597
2021-10-25,QQQM,150.483566,151.780083,149.781691,151.438904,43,Monday,150.871061,25.0,0.165704
2021-11-01,QQQM,154.967766,155.276786,154.061172,155.211472,44,Monday,154.879299,25.0,0.161416
2021-11-08,QQQM,159.724922,160.105103,159.23751,159.500702,45,Monday,159.642059,25.0,0.1566
2021-11-15,QQQM,158.642853,158.759827,157.112372,158.11644,46,Monday,158.157873,25.0,0.15807
2021-11-22,QQQM,162.620166,163.68272,159.968643,160.046616,47,Monday,161.579536,25.0,0.154723
2021-11-29,QQQM,158.633093,160.543755,158.360144,160.124573,48,Monday,159.415391,25.0,0.156823
2021-12-06,QQQM,153.632262,155.28946,152.062795,154.763046,49,Monday,153.936891,25.0,0.162404
2021-12-13,QQQM,159.549426,159.588427,157.063622,157.209854,50,Monday,158.352832,25.0,0.157875
2021-12-20,QQQM,152.401213,153.006168,151.493765,152.791504,51,Monday,152.423162,25.0,0.164017
2021-12-27,QQQM,159.855907,161.895206,159.768094,161.875687,52,Monday,160.848723,25.0,0.155426
2022-01-03,QQQM,160.129126,161.270743,159.289987,161.23172,1,Monday,160.480394,25.0,0.155782
2022-01-10,QQQM,150.405833,152.723221,148.195776,152.625641,2,Monday,150.987618,25.0,0.165576
2022-01-18,QQQM,150.254594,150.927843,148.38117,148.917816,3,Tuesday,149.620356,25.0,0.16709
2022-01-24,QQQM,138.594453,142.029071,134.106047,141.726593,4,Monday,139.114041,25.0,0.179709
2022-01-31,QQQM,141.755899,145.912558,141.092401,145.688141,5,Monday,143.61225,25.0,0.17408
2022-02-07,QQQM,143.95132,144.829482,142.009587,142.556015,6,Monday,143.336601,25.0,0.174415
2022-02-14,QQQM,139.043335,140.819193,138.028569,139.521454,7,Monday,139.353138,25.0,0.1794
2022-02-22,QQQM,135.833147,138.03832,134.23293,135.725815,8,Tuesday,135.957553,25.0,0.183881
2022-02-28,QQQM,137.462622,139.86294,137.004021,139.326279,9,Monday,138.413965,25.0,0.180618
2022-03-07,QQQM,135.228176,135.82338,130.297754,130.408005,10,Monday,132.939329,25.0,0.188056
2022-03-14,QQQM,129.705477,131.052007,127.43201,127.74424,11,Monday,128.983434,25.0,0.193823
2022-03-21,QQQM,140.832528,141.584864,138.878421,140.725052,12,Monday,140.505216,25.0,0.177929
2022-03-28,QQQM,144.408546,146.665538,143.929784,146.587372,13,Monday,145.39781,25.0,0.171942
2022-04-04,QQQM,145.786195,148.414458,145.649409,148.385147,14,Monday,147.058802,25.0,0.17
2022-04-11,QQQM,138.5169,138.902825,136.865677,137.119705,15,Monday,137.851277,25.0,0.181355
2022-04-18,QQQM,135.60529,137.031795,134.945791,136.191528,16,Monday,135.943601,25.0,0.1839
2022-04-25,QQQM,130.124012,132.566646,129.576864,132.488495,17,Monday,131.189004,25.0,0.190565
