Date,Open,High,Low,Close,Volume,Symbol,Year,Month,Week,Weekday,avg_daily_price,Previous_Close,Daily_Gain_Loss_Pct,Open_vs_PrevClose_Pct,Low_vs_PrevClose_Pct,Close_vs_PrevClose_Pct,mx_percent_decline
2009-06-25,1.0653384883328438,1.1449534460585555,1.0653384883328438,1.1403553485870361,2577600,UPRO,2009,6,26,Thursday,1.104,,,,,,
2009-06-26,1.1306335233494507,1.1474499553851096,1.1136854979858297,1.1344436407089233,13104000,UPRO,2009,6,26,Friday,1.1316,1.1403553485870361,-0.52,-0.85,-2.34,-0.52,2.34
2009-06-29,1.1429820228784828,1.1692577166460605,1.1269543672579447,1.1666299104690552,8690400,UPRO,2009,6,27,Monday,1.1515,1.1344436407089233,2.84,0.75,-0.66,2.84,0.66
2009-06-30,1.1666302373623383,1.1760893950490514,1.1127659465039492,1.1387786865234375,17128800,UPRO,2009,6,27,Tuesday,1.1486,1.1666299104690552,-2.39,0.0,-4.62,-2.39,4.62
2009-07-01,1.1525725341253523,1.1851546660224195,1.1479744376216223,1.1509966850280762,12038400,UPRO,2009,7,27,Wednesday,1.1592,1.1387786865234375,1.07,1.21,0.81,1.07,-0.81
2009-07-02,1.1060651615744552,1.1065900685031094,1.0556156857278383,1.056010127067566,29275200,UPRO,2009,7,27,Thursday,1.0811,1.1509966850280762,-8.25,-3.9,-8.29,-8.25,8.29
2009-07-06,1.0268450452569455,1.0600826594080757,1.0162034698591784,1.058900237083435,22572000,UPRO,2009,7,28,Monday,1.0405,1.056010127067566,0.27,-2.76,-3.77,0.27,3.77
2009-07-07,1.0537770527659023,1.0564048582269692,0.9929489493370056,0.9929489493370056,29016000,UPRO,2009,7,28,Tuesday,1.024,1.058900237083435,-6.23,-0.48,-6.23,-6.23,6.23
2009-07-08,1.01226194481169,1.0183053118237964,0.9590540641098854,0.9941315054893494,49824000,UPRO,2009,7,28,Wednesday,0.9959,0.9929489493370056,0.12,1.95,-3.41,0.12,3.41
2009-07-09,1.0116045716640085,1.0231665129311551,0.9896650286573727,1.0003066062927246,45892800,UPRO,2009,7,28,Thursday,1.0062,0.9941315054893494,0.62,1.76,-0.45,0.62,0.45
2009-07-10,0.9824389524254937,1.008057123456251,0.9708779166177072,0.9907156825065613,51199200,UPRO,2009,7,28,Friday,0.988,1.0003066062927246,-0.96,-1.79,-2.94,-0.96,2.94
2009-07-13,1.0026715351122473,1.0648126684499508,0.9790236428241367,1.0631052255630493,43675200,UPRO,2009,7,29,Monday,1.0274,0.9907156825065613,7.31,1.21,-1.18,7.31,1.18
2009-07-14,1.0738779000720478,1.0849130153656006,1.0502300162786713,1.0849130153656006,38700000,UPRO,2009,7,29,Tuesday,1.0735,1.0631052255630493,2.05,1.01,-1.21,2.05,1.21
2009-07-15,1.1247206783707997,1.1846284114647967,1.1203845292347638,1.1776654720306396,36921600,UPRO,2009,7,29,Wednesday,1.1518,1.0849130153656006,8.55,3.67,3.27,8.55,-3.27
2009-07-16,1.1658416827752651,1.2225967137459266,1.1599297967000286,1.209195852279663,46396800,UPRO,2009,7,29,Thursday,1.1894,1.1776654720306396,2.68,-1.0,-1.51,2.68,1.51
2009-07-17,1.2056491662703233,1.2152398035200689,1.1862058327837606,1.2070945501327515,27374400,UPRO,2009,7,29,Friday,1.2035,1.209195852279663,-0.17,-0.29,-1.9,-0.17,1.9
2009-07-20,1.2315299868737128,1.2534705407854534,1.211955179778445,1.243748426437378,37195200,UPRO,2009,7,30,Monday,1.2352,1.2070945501327515,3.04,2.02,0.4,3.04,-0.4
2009-07-21,1.2759361288379225,1.278169493285564,1.2194441640576892,1.26437509059906,45237600,UPRO,2009,7,30,Tuesday,1.2595,1.243748426437378,1.66,2.59,-1.95,1.66,1.95
2009-07-22,1.2399382997113302,1.286051760671129,1.237836528571373,1.2620103359222412,37634400,UPRO,2009,7,30,Wednesday,1.2565,1.26437509059906,-0.19,-1.93,-2.1,-0.19,2.1
2009-07-23,1.2658196219722233,1.3636963773443627,1.2647686799610247,1.3458290100097656,55022400,UPRO,2009,7,30,Thursday,1.31,1.2620103359222412,6.64,0.3,0.22,6.64,-0.22
2009-07-24,1.3242829566969647,1.3659298059424863,1.3068100300831393,1.3634334802627563,60127200,UPRO,2009,7,30,Friday,1.3401,1.3458290100097656,1.31,-1.6,-2.9,1.31,2.9
2009-07-27,1.3592289195949143,1.3778851708425657,1.334398609279987,1.3749945163726807,44935200,UPRO,2009,7,31,Monday,1.3616,1.3634334802627563,0.85,-0.31,-2.13,0.85,2.13
2009-07-28,1.3470114884701792,1.376308415203233,1.32204969771334,1.3633019924163818,46476000,UPRO,2009,7,31,Tuesday,1.3522,1.3749945163726807,-0.85,-2.04,-3.85,-0.85,3.85
2009-07-29,1.3371579183739846,1.3579160540852808,1.318765417191214,1.3451716899871826,55908000,UPRO,2009,7,31,Wednesday,1.3398,1.3633019924163818,-1.33,-1.92,-3.27,-1.33,3.27
2009-07-30,1.3966720270160022,1.4355595870524505,1.3856360084673363,1.387212872505188,55886400,UPRO,2009,7,31,Thursday,1.4013,1.3451716899871826,3.13,3.83,3.01,3.13,-3.01
2009-07-31,1.3886581514386067,1.4222902123728265,1.3761768620518497,1.3912849426269531,54871200,UPRO,2009,7,31,Friday,1.3946,1.387212872505188,0.29,0.1,-0.8,0.29,0.8
2009-08-03,1.440552193567209,1.466564813323123,1.4159838297862293,1.4613093137741089,39600000,UPRO,2009,8,32,Monday,1.4461,1.3912849426269531,5.03,3.54,1.78,5.03,-1.78
2009-08-04,1.4434420886632833,1.4806223244473595,1.43490239438536,1.4753667116165161,34984800,UPRO,2009,8,32,Tuesday,1.4586,1.4613093137741089,0.96,-1.22,-1.81,0.96,1.81
2009-08-05,1.4789143583513107,1.481147610985372,1.4253130250340447,1.4648571014404297,62568000,UPRO,2009,8,32,Wednesday,1.4626,1.4753667116165161,-0.71,0.24,-3.39,-0.71,3.39
2009-08-06,1.4831182352174124,1.4875848511932606,1.4188744480546531,1.4373983144760132,69249600,UPRO,2009,8,32,Thursday,1.4567,1.4648571014404297,-1.87,1.25,-3.14,-1.87,3.14
2009-08-07,1.4852201628568071,1.530939070087595,1.4607842962959494,1.494416356086731,44042400,UPRO,2009,8,32,Friday,1.4928,1.4373983144760132,3.97,3.33,1.63,3.97,-1.63
2009-08-10,1.47510374673046,1.4958618837948139,1.4550030123163886,1.48403799533844,46512000,UPRO,2009,8,33,Monday,1.4775,1.494416356086731,-0.69,-1.29,-2.64,-0.69,2.64
2009-08-11,1.4668268876505428,1.4685352322984044,1.4188746118622633,1.4275457859039307,48729600,UPRO,2009,8,33,Tuesday,1.4454,1.48403799533844,-3.81,-1.16,-4.39,-3.81,4.39
2009-08-12,1.4216340731892931,1.5086054024658697,1.4216340731892931,1.4772065877914429,71791200,UPRO,2009,8,33,Wednesday,1.4573,1.4275457859039307,3.48,-0.41,-0.41,3.48,0.41
2009-08-13,1.4977009395916108,1.512021155194085,1.4542152727137518,1.510575771331787,100713600,UPRO,2009,8,33,Thursday,1.4936,1.4772065877914429,2.26,1.39,-1.56,2.26,1.56
2009-08-14,1.5117579489782265,1.5117579489782265,1.426625439655794,1.474447250366211,72115200,UPRO,2009,8,33,Friday,1.4811,1.510575771331787,-2.39,0.08,-5.56,-2.39,5.56
2009-08-17,1.3901023790317113,1.392993032812211,1.3581776536281633,1.364878535270691,84139200,UPRO,2009,8,34,Monday,1.3765,1.474447250366211,-7.43,-5.72,-7.89,-7.43,7.89
2009-08-18,1.3769648667465306,1.412568236792608,1.3681631138673596,1.4023211002349854,53431200,UPRO,2009,8,34,Tuesday,1.39,1.364878535270691,2.74,0.89,0.24,2.74,-0.24
2009-08-19,1.3648788109607346,1.4489603744509278,1.362776024825102,1.4345086812973022,61682400,UPRO,2009,8,34,Wednesday,1.4028,1.4023211002349854,2.3,-2.67,-2.82,2.3,2.82
2009-08-20,1.4380559645242983,1.489161971467417,1.4320124835611536,1.4814101457595825,51573600,UPRO,2009,8,34,Thursday,1.4602,1.4345086812973022,3.27,0.25,-0.17,3.27,0.17
2009-08-21,1.5159622828257358,1.5740312211646925,1.5078170319621376,1.5641775131225586,61516800,UPRO,2009,8,34,Friday,1.5405,1.4814101457595825,5.59,2.33,1.78,5.59,-1.78
2009-08-24,1.5850668132177737,1.611211032705719,1.5497263975360336,1.5639151334762573,60307200,UPRO,2009,8,35,Monday,1.5775,1.5641775131225586,-0.02,1.34,-0.92,-0.02,0.92
2009-08-25,1.5854603328451753,1.620407188650488,1.5656225680423235,1.574293851852417,85644000,UPRO,2009,8,35,Tuesday,1.5864,1.5639151334762573,0.66,1.38,0.11,0.66,-0.11
2009-08-26,1.5606306002880443,1.5974163919430064,1.5460474258613104,1.5738999843597412,83944800,UPRO,2009,8,35,Wednesday,1.5695,1.574293851852417,-0.03,-0.87,-1.79,-0.03,1.79
2009-08-27,1.570877555761239,1.6009633627050595,1.5204289591352165,1.5884829759597778,111304800,UPRO,2009,8,35,Thursday,1.5702,1.5738999843597412,0.93,-0.19,-3.4,0.93,3.4
2009-08-28,1.624742745368439,1.6298667640164886,1.5527481465231896,1.5828330516815186,84880800,UPRO,2009,8,35,Friday,1.5975,1.5884829759597778,-0.36,2.28,-2.25,-0.36,2.25
2009-08-31,1.5377707088059567,1.546967805194587,1.5141227076995838,1.5439456701278687,103269600,UPRO,2009,8,36,Monday,1.5357,1.5828330516815186,-2.46,-2.85,-4.34,-2.46,4.34
2009-09-01,1.5210859609877283,1.5765270810986238,1.4314859662893114,1.4384489059448242,137505600,UPRO,2009,9,36,Tuesday,1.4919,1.5439456701278687,-6.83,-1.48,-7.28,-6.83,7.28
2009-09-02,1.4222898850999692,1.4502729008245563,1.4129622131917736,1.4247862100601196,67384800,UPRO,2009,9,36,Wednesday,1.4276,1.4384489059448242,-0.95,-1.12,-1.77,-0.95,1.77
2009-09-03,1.4480403330888976,1.4640688938871216,1.414671225106102,1.4563170671463013,53100000,UPRO,2009,9,36,Thursday,1.4458,1.4247862100601196,2.21,1.63,-0.71,2.21,0.71
2009-09-04,1.4676157782814485,1.5213485739280472,1.455265968701454,1.520034670829773,63266400,UPRO,2009,9,36,Friday,1.4911,1.4563170671463013,4.38,0.78,-0.07,4.38,0.07
2009-09-08,1.5643093298905928,1.5649658304404963,1.5355374208711572,1.559974193572998,63734400,UPRO,2009,9,37,Tuesday,1.5562,1.520034670829773,2.63,2.91,1.02,2.63,-1.02
2009-09-09,1.5687757515878522,1.6118679822539168,1.5541935929565376,1.5966283082962036,54424800,UPRO,2009,9,37,Wednesday,1.5829,1.559974193572998,2.35,0.56,-0.37,2.35,0.37
2009-09-10,1.5979426144058795,1.6477337108292498,1.5732427647256313,1.6452383995056152,64742400,UPRO,2009,9,37,Thursday,1.616,1.5966283082962036,3.04,0.08,-1.46,3.04,1.46
2009-09-11,1.6537771707557123,1.6687547893631132,1.621196043802454,1.6428736448287964,66132000,UPRO,2009,9,37,Friday,1.6467,1.6452383995056152,-0.14,0.52,-1.46,-0.14,1.46
2009-09-14,1.6016196662685802,1.6759800022455373,1.6016196662685802,1.670593023300171,56160000,UPRO,2009,9,38,Monday,1.6375,1.6428736448287964,1.69,-2.51,-2.51,1.69,2.51
2009-09-15,1.6771627569231153,1.7077734733370515,1.6437926411016524,1.689643144607544,76881600,UPRO,2009,9,38,Tuesday,1.6796,1.670593023300171,1.14,0.39,-1.6,1.14,1.6
2009-09-16,1.7061964963132255,1.7661041309140628,1.689774401606919,1.7646597623825073,71560800,UPRO,2009,9,38,Wednesday,1.7317,1.689643144607544,4.44,0.98,0.01,4.44,-0.01
