Date,Open,High,Low,Close,Volume,Symbol,Year,Month,Week,Weekday,avg_daily_price,Previous_Close,Daily_Gain_Loss_Pct,Open_vs_PrevClose_Pct,Low_vs_PrevClose_Pct,Close_vs_PrevClose_Pct,mx_percent_decline
2007-12-27,42.25533066482632,42.25533066482632,41.882415771484375,41.882415771484375,73900,MGK,2007,12,52,Thursday,42.0689,,,,,,
2007-12-28,41.99841843815578,41.99841843815578,41.675226696670975,41.782955169677734,5000,MGK,2007,12,52,Friday,41.8638,41.882415771484375,-0.24,0.28,-0.49,-0.24,0.49
2007-12-31,41.64207624722353,42.31332279343129,41.41004180908203,41.41004180908203,9200,MGK,2007,12,1,Monday,41.6939,41.782955169677734,-0.89,-0.34,-0.89,-0.89,0.89
2008-01-02,41.45977112284606,41.45977112284606,40.82996186373504,40.904544830322266,6800,MGK,2008,1,1,Wednesday,41.1635,41.41004180908203,-1.22,0.12,-1.4,-1.22,1.4
2008-01-03,40.97084382473746,41.13658412107302,40.94598388671875,40.94598388671875,13700,MGK,2008,1,1,Thursday,40.9998,40.904544830322266,0.1,0.16,0.1,0.1,-0.1
2008-01-04,40.5150573160431,40.5150573160431,39.77751637243481,39.81895065307617,23500,MGK,2008,1,1,Friday,40.1566,40.94598388671875,-2.75,-1.05,-2.85,-2.75,2.85
2008-01-07,39.92668693420166,39.97640997346771,39.54548645019531,39.54548645019531,2800,MGK,2008,1,2,Monday,39.7485,39.81895065307617,-0.69,0.27,-0.69,-0.69,0.69
2008-01-08,39.959843931357575,40.02613816958933,39.13943099975586,39.13943099975586,8000,MGK,2008,1,2,Tuesday,39.5662,39.54548645019531,-1.03,1.05,-1.03,-1.03,1.03
2008-01-09,39.13112454002599,39.653202056884766,38.865941406031354,39.653202056884766,2200,MGK,2008,1,2,Wednesday,39.3259,39.13943099975586,1.31,-0.02,-0.7,1.31,0.7
2008-01-10,39.487479431151556,40.13386316184422,39.487479431151556,39.918399810791016,12900,MGK,2008,1,2,Thursday,39.7568,39.653202056884766,0.67,-0.42,-0.42,0.67,0.42
2008-01-11,39.44602772399391,39.5869080427936,39.263716294273344,39.3631591796875,4200,MGK,2008,1,2,Friday,39.415,39.918399810791016,-1.39,-1.18,-1.64,-1.39,1.64
2008-01-14,39.68637339525141,39.77753074233338,39.54549615793136,39.76924514770508,33700,MGK,2008,1,3,Monday,39.6947,39.3631591796875,1.03,0.82,0.46,1.03,-0.46
2008-01-15,39.33830879548907,39.33830879548907,38.79965364307648,38.8493766784668,36600,MGK,2008,1,3,Tuesday,39.0814,39.76924514770508,-2.31,-1.08,-2.44,-2.31,2.44
2008-01-16,38.50133758150252,38.882538192511205,38.12013697049384,38.43504333496094,21800,MGK,2008,1,3,Wednesday,38.4848,38.8493766784668,-1.07,-0.9,-1.88,-1.07,1.88
2008-01-17,38.6587576706138,38.6587576706138,37.448856353759766,37.448856353759766,6600,MGK,2008,1,3,Thursday,38.0538,38.43504333496094,-2.57,0.58,-2.57,-2.57,2.57
2008-01-18,37.72234022238927,37.97923778730784,37.22511943492423,37.4654426574707,16600,MGK,2008,1,3,Friday,37.598,37.448856353759766,0.04,0.73,-0.6,0.04,0.6
2008-01-22,36.87706388657826,37.17539569572752,35.9240598474884,37.034515380859375,43400,MGK,2008,1,4,Tuesday,36.7528,37.4654426574707,-1.15,-1.57,-4.11,-1.15,4.11
2008-01-23,35.92406297755208,37.29141616821289,35.567722525712774,37.29141616821289,24400,MGK,2008,1,4,Wednesday,36.5187,37.034515380859375,0.69,-3.0,-3.96,0.69,3.96
2008-01-24,37.515159443949265,37.888074182205635,37.49858510433432,37.80520248413086,19000,MGK,2008,1,4,Thursday,37.6768,37.29141616821289,1.38,0.6,0.56,1.38,-0.56
2008-01-25,38.39360394353638,38.39360394353638,37.35773079368358,37.36601638793945,27600,MGK,2008,1,4,Friday,37.8777,37.80520248413086,-1.16,1.56,-1.18,-1.16,1.18
2008-01-28,37.42402198889461,37.69749399561504,37.357727756535354,37.6809196472168,11200,MGK,2008,1,5,Monday,37.54,37.36601638793945,0.84,0.16,-0.02,0.84,0.02
2008-01-29,37.87150088351016,37.937795082560065,36.50414785939838,37.83835220336914,15700,MGK,2008,1,5,Tuesday,37.5379,37.6809196472168,0.42,0.51,-3.12,0.42,3.12
