Date,Weekday,Symbol,Strategy,Buy_Price,Dollars_Invested,Shares_Purchased,Cumulative_Shares,Cumulative_Invested,Cumulative_Value,Close_Price
2015-09-08,Tuesday,XLG,DCA_Weekly,11.76,25.00,2.12571562,2.12571562,25.00,25.10,11.81
2015-09-14,Monday,XLG,DCA_Weekly,11.75,25.00,2.12704821,4.25276384,50.00,50.02,11.76
2015-09-21,Monday,XLG,DCA_Weekly,11.83,25.00,2.11254140,6.36530524,75.00,75.27,11.83
2015-09-28,Monday,XLG,DCA_Weekly,11.45,25.00,2.18381389,8.54911913,100.00,97.36,11.39
2015-10-05,Monday,XLG,DCA_Weekly,11.92,25.00,2.09697701,10.64609614,125.00,127.50,11.98
2015-10-12,Monday,XLG,DCA_Weekly,12.14,25.00,2.05881055,12.70490669,150.00,154.34,12.15
2015-10-19,Monday,XLG,DCA_Weekly,12.29,25.00,2.03405660,14.73896329,175.00,181.45,12.31
2015-10-26,Monday,XLG,DCA_Weekly,12.66,25.00,1.97439399,16.71335728,200.00,211.71,12.67
2015-11-02,Monday,XLG,DCA_Weekly,12.82,25.00,1.95022325,18.66358053,225.00,240.45,12.88
2015-11-09,Monday,XLG,DCA_Weekly,12.83,25.00,1.94826895,20.61184947,250.00,263.73,12.80
2015-11-16,Monday,XLG,DCA_Weekly,12.51,25.00,1.99809155,22.60994102,275.00,285.25,12.62
2015-11-23,Monday,XLG,DCA_Weekly,12.85,25.00,1.94592281,24.55586383,300.00,315.26,12.84
2015-11-30,Monday,XLG,DCA_Weekly,12.83,25.00,1.94810393,26.50396776,325.00,338.87,12.79
2015-12-07,Monday,XLG,DCA_Weekly,12.85,25.00,1.94486675,28.44883451,350.00,365.52,12.85
2015-12-14,Monday,XLG,DCA_Weekly,12.50,25.00,1.99941465,30.44824916,375.00,382.77,12.57
2015-12-21,Monday,XLG,DCA_Weekly,12.54,25.00,1.99294042,32.44118957,400.00,407.44,12.56
2015-12-28,Monday,XLG,DCA_Weekly,12.72,25.00,1.96495038,34.40613996,425.00,438.54,12.75
2016-01-04,Monday,XLG,DCA_Weekly,12.43,25.00,2.01201357,36.41815353,450.00,453.98,12.47
2016-01-11,Monday,XLG,DCA_Weekly,11.95,25.00,2.09167670,38.50983023,475.00,460.72,11.96
2016-01-19,Tuesday,XLG,DCA_Weekly,11.78,25.00,2.12200337,40.63183360,500.00,477.18,11.74
2016-01-25,Monday,XLG,DCA_Weekly,11.83,25.00,2.11265750,42.74449110,525.00,503.00,11.77
2016-02-01,Monday,XLG,DCA_Weekly,12.10,25.00,2.06586262,44.81035372,550.00,543.79,12.14
2016-02-08,Monday,XLG,DCA_Weekly,11.63,25.00,2.14949173,46.95984546,575.00,548.24,11.67
2016-02-16,Tuesday,XLG,DCA_Weekly,11.88,25.00,2.10350907,49.06335452,600.00,584.79,11.92
2016-02-22,Monday,XLG,DCA_Weekly,12.17,25.00,2.05441246,51.11776699,625.00,622.62,12.18
2016-02-29,Monday,XLG,DCA_Weekly,12.10,25.00,2.06537633,53.18314332,650.00,640.04,12.03
2016-03-07,Monday,XLG,DCA_Weekly,12.40,25.00,2.01599284,55.19913616,675.00,685.48,12.42
2016-03-14,Monday,XLG,DCA_Weekly,12.54,25.00,1.99346284,57.19259900,700.00,717.70,12.55
2016-03-21,Monday,XLG,DCA_Weekly,12.70,25.00,1.96864190,59.16124090,725.00,752.94,12.73
2016-03-28,Monday,XLG,DCA_Weekly,12.69,25.00,1.97058973,61.13183063,750.00,774.57,12.67
2016-04-04,Monday,XLG,DCA_Weekly,12.87,25.00,1.94183561,63.07366624,775.00,811.79,12.87
2016-04-11,Monday,XLG,DCA_Weekly,12.79,25.00,1.95423814,65.02790438,800.00,828.46,12.74
2016-04-18,Monday,XLG,DCA_Weekly,12.99,25.00,1.92451897,66.95242335,825.00,873.98,13.05
2016-04-25,Monday,XLG,DCA_Weekly,12.96,25.00,1.92952439,68.88194774,850.00,893.70,12.97
2016-05-02,Monday,XLG,DCA_Weekly,12.85,25.00,1.94516333,70.82711107,875.00,912.82,12.89
2016-05-09,Monday,XLG,DCA_Weekly,12.80,25.00,1.95302807,72.78013914,900.00,931.14,12.79
2016-05-16,Monday,XLG,DCA_Weekly,12.82,25.00,1.94994126,74.73008039,925.00,961.68,12.87
2016-05-23,Monday,XLG,DCA_Weekly,12.77,25.00,1.95713566,76.68721605,950.00,977.68,12.75
2016-05-31,Tuesday,XLG,DCA_Weekly,13.07,25.00,1.91329563,78.60051168,975.00,1027.62,13.07
2016-06-06,Monday,XLG,DCA_Weekly,13.09,25.00,1.90930530,80.50981699,1000.00,1056.20,13.12
2016-06-13,Monday,XLG,DCA_Weekly,12.97,25.00,1.92700199,82.43681898,1025.00,1067.17,12.95
2016-06-20,Monday,XLG,DCA_Weekly,12.98,25.00,1.92613993,84.36295891,1050.00,1091.24,12.94
2016-06-27,Monday,XLG,DCA_Weekly,12.55,25.00,1.99213205,86.35509096,1075.00,1082.13,12.53
2016-07-05,Tuesday,XLG,DCA_Weekly,13.07,25.00,1.91247062,88.26756158,1100.00,1153.63,13.07
2016-07-11,Monday,XLG,DCA_Weekly,13.36,25.00,1.87105267,90.13861424,1125.00,1203.55,13.35
2016-07-18,Monday,XLG,DCA_Weekly,13.52,25.00,1.84975044,91.98836469,1150.00,1244.37,13.53
2016-07-25,Monday,XLG,DCA_Weekly,13.54,25.00,1.84600085,93.83436553,1175.00,1268.68,13.52
2016-08-01,Monday,XLG,DCA_Weekly,13.58,25.00,1.84037453,95.67474006,1200.00,1300.34,13.59
2016-08-08,Monday,XLG,DCA_Weekly,13.68,25.00,1.82801034,97.50275041,1225.00,1331.32,13.65
2016-08-15,Monday,XLG,DCA_Weekly,13.71,25.00,1.82381787,99.32656827,1250.00,1361.94,13.71
2016-08-22,Monday,XLG,DCA_Weekly,13.63,25.00,1.83481215,101.16138042,1275.00,1379.66,13.64
2016-08-29,Monday,XLG,DCA_Weekly,13.61,25.00,1.83708101,102.99846144,1300.00,1404.08,13.63
2016-09-06,Tuesday,XLG,DCA_Weekly,13.67,25.00,1.82848377,104.82694521,1325.00,1434.39,13.68
2016-09-12,Monday,XLG,DCA_Weekly,13.42,25.00,1.86244242,106.68938763,1350.00,1445.79,13.55
2016-09-19,Monday,XLG,DCA_Weekly,13.49,25.00,1.85279448,108.54218211,1375.00,1460.52,13.46
2016-09-26,Monday,XLG,DCA_Weekly,13.50,25.00,1.85239727,110.39457938,1400.00,1486.33,13.46
2016-10-03,Monday,XLG,DCA_Weekly,13.55,25.00,1.84451844,112.23909782,1425.00,1522.25,13.56
2016-10-10,Monday,XLG,DCA_Weekly,13.64,25.00,1.83266046,114.07175828,1450.00,1555.94,13.64
2016-10-17,Monday,XLG,DCA_Weekly,13.44,25.00,1.86052849,115.93228677,1475.00,1556.96,13.43
2016-10-24,Monday,XLG,DCA_Weekly,13.53,25.00,1.84779528,117.78008205,1500.00,1593.52,13.53
