Symbol,Date,Open,High,Low,Close,Volume,Year,Month,Week,Weekday,avg_daily_price,Previous_Close,Daily_Gain_Loss_Pct,Open_vs_PrevClose_Pct,Low_vs_PrevClose_Pct,Close_vs_PrevClose_Pct,mx_percent_decline,Shares_Purchased,Total_Value_Purchased,BOD99-1,BOD98-2,BOD97-3,BOD96-4,BOD95-5,BOD94-6,BOD93-7,BOD92-8,BOD91-9,BOD90-10,BOD89-11,BOD88-12,BOD87-13,BOD86-14,BOD85-15,BOD84-16,BOD82-18,BOD81-19,BOD80-20,BOD79-21,BOD78-22,BOD77-23,BOD76-24,BOD75-25,BOD99-1_Executed,BOD98-2_Executed,BOD97-3_Executed,BOD96-4_Executed,BOD95-5_Executed,BOD94-6_Executed,BOD93-7_Executed,BOD92-8_Executed,BOD91-9_Executed,BOD90-10_Executed,BOD89-11_Executed,BOD88-12_Executed,BOD87-13_Executed,BOD86-14_Executed,BOD85-15_Executed,BOD84-16_Executed,BOD82-18_Executed,BOD81-19_Executed,BOD80-20_Executed,BOD79-21_Executed,BOD78-22_Executed,BOD77-23_Executed,BOD76-24_Executed,BOD75-25_Executed
GGLL,2022-09-07 04:00:00+00:00,23.980567932128903,23.980567932128903,23.980567932128903,23.980567932128903,100,2022,9,36,Wednesday,23.9806,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GGLL,2022-09-08 04:00:00+00:00,23.832539542261163,23.832539542261163,23.576265335083008,23.576265335083008,900,2022,9,36,Thursday,23.7044,23.980567932128903,-1.69,-0.62,-1.69,-1.69,1.69,1,23.7408,23.7408,23.501,23.2612,23.0213,22.7815,22.5417,22.3019,22.0621,21.8223,21.5825,21.3427,21.1029,20.8631,20.6233,20.3835,20.1437,19.6641,19.4243,19.1845,18.9446,18.7048,18.465,18.2252,17.9854,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GGLL,2022-09-09 04:00:00+00:00,24.392266434638007,24.48015752443763,24.378389358520508,24.378389358520508,1100,2022,9,36,Friday,24.4073,23.576265335083008,3.4,3.46,3.4,3.4,-3.4,0,0.0,23.3405,23.1047,22.869,22.6332,22.3975,22.1617,21.9259,21.6902,21.4544,21.2186,20.9829,20.7471,20.5114,20.2756,20.0398,19.8041,19.3325,19.0968,18.861,18.6252,18.3895,18.1537,17.918,17.6822,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GGLL,2022-09-12 04:00:00+00:00,24.517167694908835,24.572677769177304,24.24886576744993,24.358963012695312,10100,2022,9,37,Monday,24.4244,24.378389358520508,-0.08,0.57,-0.53,-0.08,0.53,0,0.0,24.1346,23.8908,23.647,23.4033,23.1595,22.9157,22.6719,22.4281,22.1843,21.9406,21.6968,21.453,21.2092,20.9654,20.7216,20.4778,19.9903,19.7465,19.5027,19.2589,19.0151,18.7714,18.5276,18.2838,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GGLL,2022-09-13 04:00:00+00:00,23.4994767947521,23.4994767947521,22.30229989282624,22.31525230407715,4400,2022,9,37,Tuesday,22.9041,24.358963012695312,-8.39,-3.53,-8.44,-8.39,8.44,8,186.1025,24.1154,23.8718,23.6282,23.3846,23.141,22.8974,22.6538,22.4102,22.1667,21.9231,21.6795,21.4359,21.1923,20.9487,20.7051,20.4615,19.9743,19.7308,19.4872,19.2436,19.0,18.7564,18.5128,18.2692,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GGLL,2022-09-14 04:00:00+00:00,22.31525166701269,22.546545726823776,22.16814827792904,22.463279724121094,6000,2022,9,37,Wednesday,22.3733,22.31525230407715,0.66,-0.0,-0.66,0.66,0.66,0,0.0,22.0921,21.8689,21.6458,21.4226,21.1995,20.9763,20.7532,20.53,20.3069,20.0837,19.8606,19.6374,19.4143,19.1911,18.968,18.7448,18.2985,18.0754,17.8522,17.629,17.4059,17.1827,16.9596,16.7364,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GGLL,2022-09-15 04:00:00+00:00,21.7601433477176,22.009014897744763,21.69538129992739,21.82490539550781,3600,2022,9,37,Thursday,21.8224,22.463279724121094,-2.84,-3.13,-3.42,-2.84,3.42,3,66.042,22.2386,22.014,21.7894,21.5647,21.3401,21.1155,20.8909,20.6662,20.4416,20.217,19.9923,19.7677,19.5431,19.3184,19.0938,18.8692,18.4199,18.1953,17.9706,17.746,17.5214,17.2967,17.0721,16.8475,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GGLL,2022-09-16 04:00:00+00:00,21.482587745367884,21.84340761321036,21.482587745367884,21.79714775085449,2900,2022,9,37,Friday,21.6514,21.82490539550781,-0.13,-1.57,-1.57,-0.13,1.57,1,21.6067,21.6067,21.3884,21.1702,20.9519,20.7337,20.5154,20.2972,20.0789,19.8607,19.6424,19.4242,19.2059,18.9877,18.7694,18.5512,18.3329,17.8964,17.6782,17.4599,17.2417,17.0234,16.8052,16.5869,16.3687,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GGLL,2022-09-19 04:00:00+00:00,21.49184085060264,21.83970832824707,21.42707880452436,21.83970832824707,2000,2022,9,38,Monday,21.6496,21.79714775085449,0.2,-1.4,-1.7,0.2,1.7,1,21.5792,21.5792,21.3612,21.1432,20.9253,20.7073,20.4893,20.2713,20.0534,19.8354,19.6174,19.3995,19.1815,18.9635,18.7455,18.5276,18.3096,17.8737,17.6557,17.4377,17.2197,17.0018,16.7838,16.5658,16.3479,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GGLL,2022-09-20 04:00:00+00:00,21.55283115689472,21.55283115689472,21.15490399456953,21.175262451171875,3500,2022,9,38,Tuesday,21.359,21.83970832824707,-3.04,-1.31,-3.14,-3.04,3.14,3,64.2087,21.6213,21.4029,21.1845,20.9661,20.7477,20.5293,20.3109,20.0925,19.8741,19.6557,19.4373,19.2189,19.0005,18.7821,18.5638,18.3454,17.9086,17.6902,17.4718,17.2534,17.035,16.8166,16.5982,16.3798,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GGLL,2022-09-21 04:00:00+00:00,21.28445955218229,21.608353854905804,20.6181640625,20.6181640625,11900,2022,9,38,Wednesday,21.0323,21.175262451171875,-2.63,0.52,-2.63,-2.63,2.63,2,41.7153,20.9635,20.7518,20.54,20.3283,20.1165,19.9047,19.693,19.4812,19.2695,19.0577,18.846,18.6342,18.4225,18.2107,17.999,17.7872,17.3637,17.152,16.9402,16.7285,16.5167,16.305,16.0932,15.8814,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GGLL,2022-09-22 04:00:00+00:00,20.54412941388952,21.019790715778,20.54412941388952,20.94205474853516,7600,2022,9,38,Thursday,20.7625,20.6181640625,1.57,-0.36,-0.36,1.57,0.36,0,0.0,20.412,20.2058,19.9996,19.7934,19.5873,19.3811,19.1749,18.9687,18.7625,18.5563,18.3502,18.144,17.9378,17.7316,17.5254,17.3193,16.9069,16.7007,16.4945,16.2883,16.0822,15.876,15.6698,15.4636,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GGLL,2022-09-23 04:00:00+00:00,20.54413322996541,20.54413322996541,20.06384379440201,20.479352951049805,10100,2022,9,38,Friday,20.4079,20.94205474853516,-2.21,-1.9,-4.19,-2.21,4.19,4,81.674,20.7326,20.5232,20.3138,20.1044,19.895,19.6855,19.4761,19.2667,19.0573,18.8478,18.6384,18.429,18.2196,18.0102,17.8007,17.5913,17.1725,16.9631,16.7536,16.5442,16.3348,16.1254,15.916,15.7065,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GGLL,2022-09-26 04:00:00+00:00,20.22949167851936,20.7292128650406,20.22949167851936,20.29704666137696,5100,2022,9,39,Monday,20.3713,20.479352951049805,-0.89,-1.22,-1.22,-0.89,1.22,1,20.2746,20.2746,20.0698,19.865,19.6602,19.4554,19.2506,19.0458,18.841,18.6362,18.4314,18.2266,18.0218,17.817,17.6122,17.4075,17.2027,16.7931,16.5883,16.3835,16.1787,15.9739,15.7691,15.5643,15.3595,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GGLL,2022-09-27 04:00:00+00:00,20.719958931188707,20.783812538326217,19.913000498594705,20.054588317871094,6900,2022,9,39,Tuesday,20.3678,20.29704666137696,-1.19,2.08,-1.89,-1.19,1.89,1,20.0941,20.0941,19.8911,19.6881,19.4852,19.2822,19.0792,18.8763,18.6733,18.4703,18.2673,18.0644,17.8614,17.6584,17.4555,17.2525,17.0495,16.6436,16.4406,16.2376,16.0347,15.8317,15.6287,15.4258,15.2228,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GGLL,2022-09-28 04:00:00+00:00,20.117518641668106,20.97815152268169,20.117518641668106,20.856922149658203,20900,2022,9,39,Wednesday,20.5175,20.054588317871094,4.0,0.31,0.31,4.0,-0.31,0,0.0,19.854,19.6535,19.453,19.2524,19.0519,18.8513,18.6508,18.4502,18.2497,18.0491,17.8486,17.648,17.4475,17.2469,17.0464,16.8459,16.4448,16.2442,16.0437,15.8431,15.6426,15.442,15.2415,15.0409,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GGLL,2022-09-29 04:00:00+00:00,20.26650986111146,20.26650986111146,19.665917690762807,20.04718780517578,4400,2022,9,39,Thursday,20.0615,20.856922149658203,-3.88,-2.83,-5.71,-3.88,5.71,5,101.1561,20.6484,20.4398,20.2312,20.0226,19.8141,19.6055,19.3969,19.1884,18.9798,18.7712,18.5627,18.3541,18.1455,17.937,17.7284,17.5198,17.1027,16.8941,16.6855,16.477,16.2684,16.0598,15.8513,15.6427,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GGLL,2022-09-30 04:00:00+00:00,19.85932637659256,20.45066592750458,19.461400985717773,19.461400985717773,6000,2022,9,39,Friday,19.8082,20.04718780517578,-2.92,-0.94,-2.92,-2.92,2.92,2,39.493,19.8467,19.6462,19.4458,19.2453,19.0448,18.8444,18.6439,18.4434,18.2429,18.0425,17.842,17.6415,17.4411,17.2406,17.0401,16.8396,16.4387,16.2382,16.0378,15.8373,15.6368,15.4363,15.2359,15.0354,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GGLL,2022-10-03 04:00:00+00:00,19.86857793728472,20.4423336610601,19.83156240692471,20.33961296081543,4000,2022,10,40,Monday,20.1205,19.461400985717773,4.51,2.09,1.9,4.51,-1.9,0,0.0,19.2668,19.0722,18.8776,18.6829,18.4883,18.2937,18.0991,17.9045,17.7099,17.5153,17.3206,17.126,16.9314,16.7368,16.5422,16.3476,15.9583,15.7637,15.5691,15.3745,15.1799,14.9853,14.7907,14.5961,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GGLL,2022-10-04 04:00:00+00:00,21.016091322990825,21.28908774719244,20.96982146061717,21.23819160461425,13000,2022,10,40,Tuesday,21.1283,20.33961296081543,4.42,3.33,3.1,4.42,-3.1,0,0.0,20.1362,19.9328,19.7294,19.526,19.3226,19.1192,18.9158,18.7124,18.509,18.3057,18.1023,17.8989,17.6955,17.4921,17.2887,17.0853,16.6785,16.4751,16.2717,16.0683,15.8649,15.6615,15.4581,15.2547,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GGLL,2022-10-05 04:00:00+00:00,20.7569777731655,21.33628479532612,20.44233775916108,21.170637130737305,8500,2022,10,40,Wednesday,20.9266,21.23819160461425,-0.32,-2.27,-3.75,-0.32,3.75,3,62.4403,21.0258,20.8134,20.601,20.3887,20.1763,19.9639,19.7515,19.5391,19.3268,19.1144,18.902,18.6896,18.4772,18.2648,18.0525,17.8401,17.4153,17.2029,16.9906,16.7782,16.5658,16.3534,16.141,15.9286,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GGLL,2022-10-06 04:00:00+00:00,21.01609484343359,21.562087783297034,21.01609484343359,21.21968650817871,6100,2022,10,40,Thursday,21.2035,21.170637130737305,0.23,-0.73,-0.73,0.23,0.73,0,0.0,20.9589,20.7472,20.5355,20.3238,20.1121,19.9004,19.6887,19.477,19.2653,19.0536,18.8419,18.6302,18.4185,18.2067,17.995,17.7833,17.3599,17.1482,16.9365,16.7248,16.5131,16.3014,16.0897,15.878,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GGLL,2022-10-07 04:00:00+00:00,20.67368856478028,20.840262881044925,20.23874588959745,20.340539932250977,12400,2022,10,40,Friday,20.5233,21.21968650817871,-4.14,-2.57,-4.62,-4.14,4.62,4,82.7568,21.0075,20.7953,20.5831,20.3709,20.1587,19.9465,19.7343,19.5221,19.3099,19.0977,18.8855,18.6733,18.4611,18.2489,18.0367,17.8245,17.4001,17.1879,16.9757,16.7636,16.5514,16.3392,16.127,15.9148,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GGLL,2022-10-10 04:00:00+00:00,20.3960664821908,20.3960664821908,19.9518677040326,20.072172164916992,5400,2022,10,41,Monday,20.204,20.340539932250977,-1.32,0.27,-1.91,-1.32,1.91,1,20.1371,20.1371,19.9337,19.7303,19.5269,19.3235,19.1201,18.9167,18.7133,18.5099,18.3065,18.1031,17.8997,17.6963,17.4929,17.2895,17.0861,16.6792,16.4758,16.2724,16.069,15.8656,15.6622,15.4588,15.2554,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GGLL,2022-10-11 04:00:00+00:00,19.9611212269834,20.31277850534913,19.66498989683245,19.850072860717773,7100,2022,10,41,Tuesday,19.9472,20.072172164916992,-1.11,-0.55,-2.03,-1.11,2.03,2,39.5422,19.8715,19.6707,19.47,19.2693,19.0686,18.8678,18.6671,18.4664,18.2657,18.065,17.8642,17.6635,17.4628,17.2621,17.0613,16.8606,16.4592,16.2585,16.0577,15.857,15.6563,15.4556,15.2549,15.0541,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GGLL,2022-10-12 04:00:00+00:00,19.91485304076248,20.26650858357404,19.91485304076248,19.9888858795166,2100,2022,10,41,Wednesday,20.0213,19.850072860717773,0.7,0.33,0.33,0.7,-0.33,0,0.0,19.6516,19.4531,19.2546,19.0561,18.8576,18.6591,18.4606,18.2621,18.0636,17.8651,17.6666,17.4681,17.2696,17.0711,16.8726,16.6741,16.2771,16.0786,15.8801,15.6816,15.4831,15.2846,15.0861,14.8876,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GGLL,2022-10-13 04:00:00+00:00,19.063473673292545,20.56634217542881,19.063473673292545,20.465471267700195,18600,2022,10,41,Thursday,19.7897,19.9888858795166,2.38,-4.63,-4.63,2.38,4.63,4,77.9567,19.789,19.5891,19.3892,19.1893,18.9894,18.7896,18.5897,18.3898,18.1899,17.99,17.7901,17.5902,17.3903,17.1904,16.9906,16.7907,16.3909,16.191,15.9911,15.7912,15.5913,15.3914,15.1916,14.9917,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GGLL,2022-10-14 04:00:00+00:00,20.775486127588703,20.775486127588703,19.6927547454834,19.6927547454834,15600,2022,10,41,Friday,20.2341,20.465471267700195,-3.78,1.51,-3.78,-3.78,3.78,3,60.1685,20.2608,20.0562,19.8515,19.6469,19.4422,19.2375,19.0329,18.8282,18.6236,18.4189,18.2143,18.0096,17.805,17.6003,17.3957,17.191,16.7817,16.577,16.3724,16.1677,15.9631,15.7584,15.5538,15.3491,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
